"month","Broad_tail_crash","Lower_tail_CIQ","Residual_coskewness"
"1970-09-01",0.0111191669016008,-0.129142083986265,0.0518790522713892
"1970-10-01",-0.00624583547404036,0.0590828295496095,-0.0211533247893226
"1970-11-01",0.00339553178690984,0.0285816132250302,-0.0129894050004449
"1970-12-01",-0.012184059624489,-0.00167154115238901,-0.00196808899516252
"1971-01-01",-0.0140136651900821,-0.059294369950112,-0.00297733572020014
"1971-02-01",-0.011443586468488,-0.0136085115888963,0.0145073547766215
"1971-03-01",0.00862281161560195,-0.0358095032012155,0.0143518511143382
"1971-04-01",0.0206392160721167,-0.0269977543738074,-0.025180583402834
"1971-05-01",0.0057440303377893,0.00896669942218948,-0.000538680098796801
"1971-06-01",0.00490173502913274,-0.000181673806840901,0.009709670292507
"1971-07-01",-0.0134695142737205,0.0314409829966413,-0.00763695559889996
"1971-08-01",0.0231227373006052,-0.0400809669951983,-0.0505075218374452
"1971-09-01",-0.0015474494765543,0.0042173924066347,0.00175427986242937
"1971-10-01",-0.000382414298483738,0.0407558677172912,-0.000208695159087351
"1971-11-01",0.0167580884283776,0.0100399494667986,0.00118174235105436
"1971-12-01",-0.00520843963867236,-0.0429677839201336,-0.00155644031875844
"1972-01-01",-0.00734732978613399,-0.0365121143942494,0.00857197215386172
"1972-02-01",0.000166827968762643,-0.034418351236386,0.00296520275220418
"1972-03-01",0.00219737044722573,0.0130446059383572,-0.0104046458920853
"1972-04-01",0.007611915977919,-0.0137080704908671,-0.00960377343633576
"1972-05-01",0.0111408156720843,0.00935204325275059,0.00946570625651879
"1972-06-01",-0.0018855888953487,0.0186348657204706,0.00816878404919953
"1972-07-01",0.0157934401075386,0.0274103441468465,-0.000559155286542974
"1972-08-01",0.00347631330595639,0.0195359093882922,-0.0118237999538906
"1972-09-01",0.00885903901530545,0.0206125629867633,0.0138140248897331
"1972-10-01",0.0123800851637507,0.0344553303079986,0.00812735974997953
"1972-11-01",-0.0111857727270766,-0.0132329614280017,-0.0336103543283811
"1972-12-01",0.016289696525313,0.00527520194578514,0.0178260297359383
"1973-01-01",0.0115384986883251,0.0558692253678932,0.0266217972494112
"1973-02-01",0.0160578635372637,0.0448986059488529,-0.00697553807170737
"1973-03-01",0.0107149897270165,0.00422263075115224,0.00685644723028164
"1973-04-01",0.0226548606139184,0.0327737039119959,0.00801480771624681
"1973-05-01",0.0307349648532798,0.0259037787802629,0.00811688161993113
"1973-06-01",0.0129702713774004,0.010783371538897,0.00856908425344347
"1973-07-01",-0.0326873678231412,-0.0467108474863201,0.00256283163211367
"1973-08-01",0.0225656807795579,-0.00887106970442279,-0.00107209841919735
"1973-09-01",-0.00785398135825648,-0.0570184168928836,-0.0540560002119022
"1973-10-01",0.0284324758170269,0.0174181409774746,-0.000917882926544492
"1973-11-01",0.0270072836794747,0.0663274217943295,0.0283183357792946
"1973-12-01",0.0467624888436485,-0.0283454593838961,-0.0102016252235522
"1974-01-01",-0.031258070837179,0.00959225874486283,-0.0207581914853228
"1974-02-01",0.00803455934622125,-0.0142030255428669,-0.0320701746339399
"1974-03-01",-0.0145348546876085,0.00601372736236316,0.0316730572451093
"1974-04-01",0.0182829604146376,-0.000583196905204642,0.0124357420436357
